display_name,gpt-4o,claude-3-5-sonnet-20241022,grok-2-1212,gemini-2.0-flash-exp,llama-3.1-nemotron-70b-instruct,majority_vote,confidence,in_model
Commutation,13,13,13,13,16,13,0.8,True
Candidatus,2,2,2,2,2,2,1.0,True
Carmustine,14,14,14,14,14,14,1.0,True
Proxy (statistics),13,13,13,13,13,13,1.0,True
Septal nuclei,14,2,14,14,14,14,0.8,True
Silver acetate,4,4,4,4,4,4,1.0,True
Cerebellar ataxia,14,14,14,14,14,14,1.0,True
Methanomicrobiales,2,2,2,2,2,2,1.0,True
Flashing,7,7,19,18,7,7,0.6,True
Passer,2,2,2,2,2,2,1.0,True
Cryotherapy,14,14,14,14,14,14,1.0,True
Pulmonary angiography,14,14,14,14,14,14,1.0,True
Reconfigurability,7,7,7,7,7,7,1.0,True
Lidocaine,14,14,14,14,14,14,1.0,True
Extreme learning machine,5,5,5,5,5,5,1.0,True
Parakeet,2,2,2,2,2,2,1.0,True
Cooperative Adaptive Cruise Control,7,7,7,7,7,7,1.0,True
User profile,5,5,5,5,5,5,1.0,True
Intravascular large B-cell lymphoma,14,14,14,14,14,14,1.0,True
Fulvic acid,4,4,4,4,4,4,1.0,True
Dark tourism,19,19,19,11,19,19,0.8,True
Silanization,4,4,4,4,4,4,1.0,True
Sanitation,8,8,8,7,8,8,0.8,True
Rosiglitazone,14,14,14,14,14,14,1.0,True
Thomisidae,2,2,2,2,2,2,1.0,True
AutoDock,4,5,5,5,5,5,0.8,True
Endothelial progenitor cell,14,14,14,14,14,14,1.0,True
Europeanisation,17,17,17,17,17,17,1.0,True
Albizia,2,2,2,2,2,2,1.0,True
Enthesopathy,14,14,14,14,14,14,1.0,True
Undo,5,5,5,5,5,5,1.0,True
Download,5,5,5,5,5,5,1.0,True
Vacuum polarization,16,16,16,16,16,16,1.0,True
Brown tumor,14,14,14,14,14,14,1.0,True
Creative city,9,19,19,9,17,19,0.4,True
Nonylphenol,4,4,4,8,4,4,0.8,True
Thermokarst,10,10,10,10,10,10,1.0,True
Redevelopment,6,17,6,9,17,6,0.4,True
Rolling-element bearing,7,7,7,7,7,7,1.0,True
Power of attorney,3,3,3,17,17,3,0.6,True
Burseraceae,2,2,2,2,2,2,1.0,True
Pedestrian detection,5,5,5,5,5,5,1.0,True
Repetitive nerve stimulation,14,14,14,14,14,14,1.0,True
Technology roadmap,3,3,3,7,7,3,0.6,True
Digital Archives,5,5,5,5,5,5,1.0,True
Hypoxic ventilatory response,14,14,14,14,14,14,1.0,True
Armadillo,2,2,2,2,2,2,1.0,True
Hyphantria,2,2,2,2,2,2,1.0,True
Hyacinth,2,2,2,2,2,2,1.0,True
Mental foramen,14,14,14,14,14,14,1.0,True
Ketose,4,4,4,4,14,4,0.8,True
Nail disease,14,14,14,14,14,14,1.0,True
Sulfenic acid,4,4,4,4,4,4,1.0,True
Uterosacral ligament,14,14,14,14,14,14,1.0,True
Potassium deficiency,14,14,14,14,14,14,1.0,True
Syncretism (linguistics),19,19,15,19,11,19,0.6,True
Daphnia magna,2,2,2,2,2,2,1.0,True
Fluoride varnish,14,14,14,14,14,14,1.0,True
Eruca,2,2,2,2,2,2,1.0,True
Centaurus A,16,16,16,16,16,16,1.0,True
Intraperitoneal injection,14,14,14,14,14,14,1.0,True
Phthalide,4,4,4,4,4,4,1.0,True
Benzothiazine,4,4,4,4,4,4,1.0,True
Hormone replacement therapy (female-to-male),14,14,14,14,14,14,1.0,True
Short course,3,3,3,3,3,3,1.0,True
Zineb,4,4,4,4,14,4,0.8,True
Melaleuca alternifolia,2,2,2,2,2,2,1.0,True
Incentive salience,18,18,18,18,18,18,1.0,True
Policy Sciences,17,17,17,17,17,17,1.0,True
Refractive surgery,14,14,14,14,14,14,1.0,True
Climate Forecast System,8,8,8,8,8,8,1.0,True
Invasive candidiasis,14,14,14,14,14,14,1.0,True
Secretagogue,14,14,14,14,14,14,1.0,True
Flammulina,2,2,2,2,2,2,1.0,True
Ethanol,4,4,4,4,4,4,1.0,True
Seascape,1,1,1,9,9,1,0.6,True
Propyl gallate,4,4,4,4,4,4,1.0,True
Aluminium nitride,12,12,12,12,12,12,1.0,True
Hexafluoroacetone,4,4,4,4,4,4,1.0,True
Pentoxide,4,4,4,4,4,4,1.0,True
Cataplexy,14,14,14,14,14,14,1.0,True
Psychotic depression,14,18,18,18,18,18,0.8,True
Perinatal asphyxia,14,14,14,14,14,14,1.0,True
Electrochromic devices,12,12,12,12,16,12,0.8,True
Salpingectomy,14,14,14,14,14,14,1.0,True
Energy consumption,6,8,8,7,8,8,0.6,True
Prolamin,2,2,2,2,4,2,0.8,True
PLGA,12,12,14,12,4,12,0.6,True
Absorption heat pump,7,7,7,7,7,7,1.0,True
Nutrient agar,2,2,2,2,4,2,0.8,True
KSTAR,16,16,16,16,16,16,1.0,True
Transatlantic Trade and Investment Partnership,6,6,6,6,17,6,0.8,True
Pulse (music),1,1,1,1,1,1,1.0,True
Regurgitation (circulation),14,14,14,2,14,14,0.8,True
Neurological examination,14,14,14,14,14,14,1.0,True
Cerebellar vermis,14,14,14,14,14,14,1.0,True
Central sleep apnea,14,14,14,14,14,14,1.0,True
Rehabilitation engineering,7,7,7,7,7,7,1.0,True
Bill of rights,17,17,17,17,17,17,1.0,True
Canopy conductance,8,8,8,8,8,8,1.0,True
3D ultrasound,14,14,14,14,14,14,1.0,True
Nintedanib,14,14,14,14,14,14,1.0,True
Internuclear ophthalmoplegia,14,14,14,14,14,14,1.0,True
Economic Thought,6,6,6,6,6,6,1.0,True
Mechanobiology,2,2,2,2,2,2,1.0,True
Wight,9,1,11,11,11,11,0.6,True
Oral poetry,1,1,1,1,1,1,1.0,True
Interventional pain management,14,14,14,14,14,14,1.0,True
Bradyrhizobium,2,2,2,2,2,2,1.0,True
Antennapedia,2,2,2,2,2,2,1.0,True
Sedimentary organic matter,10,10,10,10,10,10,1.0,True
Very Large Telescope,16,16,16,16,16,16,1.0,True
History of English,11,11,11,11,11,11,1.0,True
Traditionalism,15,15,15,15,15,15,1.0,True
Histiocytosis,14,14,14,14,14,14,1.0,True
Wheat germ agglutinin,2,2,2,2,14,2,0.8,True
Spinal stenosis,14,14,14,14,14,14,1.0,True
CONQUEST,11,11,11,11,11,11,1.0,True
WNT5A,2,2,2,2,14,2,0.8,True
Nasonia vitripennis,2,2,2,2,2,2,1.0,True
Health and Retirement Study,6,19,19,19,18,19,0.6,True
Infective endocarditis,14,14,14,14,14,14,1.0,True
Thyroid disease,14,14,14,14,14,14,1.0,True
Renal sympathetic denervation,14,14,14,14,14,14,1.0,True
Zona glomerulosa,14,2,2,14,14,14,0.6,True
Amelogenesis imperfecta,14,14,14,14,14,14,1.0,True
Nicotiana sylvestris,2,2,2,2,2,2,1.0,True
Cholecystography,14,14,14,14,14,14,1.0,True
Formate,4,4,4,4,4,4,1.0,True
Serotonin syndrome,14,14,14,14,14,14,1.0,True
Transplant rejection,14,14,14,14,14,14,1.0,True
Glucomannan,14,12,2,4,14,14,0.4,True
Normal tension glaucoma,14,14,14,14,14,14,1.0,True
Achillea,2,2,2,2,2,2,1.0,True
Crew,3,19,19,19,3,19,0.6,True
Treaty of Rome,11,11,17,17,17,17,0.6,True
Polyuria,14,14,14,14,14,14,1.0,True
Laser cutting,7,7,7,7,7,7,1.0,True
Value of life,6,15,15,15,15,15,0.8,True
Dolomite,10,10,10,10,10,10,1.0,True
Inflammatory myopathy,14,14,14,14,14,14,1.0,True
Spider,2,2,2,2,2,2,1.0,True
Wave power,7,7,7,7,7,7,1.0,True
Spongiosis,14,14,14,14,14,14,1.0,True
Guideline,19,15,15,15,5,15,0.6,True
Lipid II,4,2,2,2,14,2,0.6,True
Nitroalkene,4,4,4,4,4,4,1.0,True
Porphyromonas gingivalis,2,2,2,2,14,2,0.8,True
Contributory negligence,3,3,15,17,17,3,0.4,True
Child support,6,19,19,17,17,19,0.4,True
Pelvic kidney,14,14,14,14,14,14,1.0,True
Soybean rust,2,2,2,2,2,2,1.0,True
Sulfide minerals,10,10,10,10,10,10,1.0,True
Phenanthridine,4,4,4,4,4,4,1.0,True
Hypertrophic cardiomyopathy,14,14,14,14,14,14,1.0,True
Progressive collapse,7,7,7,7,7,7,1.0,True
Papillary adenocarcinoma,14,14,14,14,14,14,1.0,True
Caenogastropoda,2,2,2,2,2,2,1.0,True
Cinnamyl-alcohol dehydrogenase,4,2,4,2,4,4,0.6,True
Dirty paper coding,5,7,5,5,5,5,0.8,True
Subnetwork,5,5,5,5,5,5,1.0,True
Banquet,11,19,19,19,19,19,0.8,True
Levonorgestrel,14,14,14,14,14,14,1.0,True
Cholangiocyte,14,2,14,14,14,14,0.8,True
Schlemm's canal,14,14,14,14,14,14,1.0,True
Shearing interferometer,16,16,16,16,16,16,1.0,True
Hyperandrogenism,14,14,14,14,14,14,1.0,True
Viséan,10,10,10,10,10,10,1.0,True
Paranoid schizophrenia,14,14,18,18,18,18,0.6,True
Corrin,4,2,4,4,4,4,0.8,True
Olfactory epithelium,2,2,2,2,2,2,1.0,True
Coccidae,2,2,2,2,2,2,1.0,True
Source function,16,13,16,16,13,16,0.6,True
Daphnia,2,2,2,2,2,2,1.0,True
Treponema,2,2,2,2,2,2,1.0,True
Ganglion cell layer,14,2,2,14,14,14,0.6,True
Nuclear strategy,17,17,17,17,17,17,1.0,True
Resonant magnetic perturbations,16,16,16,16,16,16,1.0,True
Lifeworld,15,15,15,15,15,15,1.0,True
Zona,14,14,14,9,14,14,0.8,True
Soil stabilization,7,7,7,7,7,7,1.0,True
Chromosome abnormality,2,2,2,14,14,2,0.6,True
Vasoprotective,14,14,14,14,14,14,1.0,True
Opsoclonus,14,14,14,14,14,14,1.0,True
Signal regeneration,7,7,7,7,7,7,1.0,True
Sucker rod,7,7,7,7,7,7,1.0,True
Cenchrus ciliaris,2,2,2,2,2,2,1.0,True
Lymphocytic choriomeningitis,14,14,14,14,14,14,1.0,True
Hemangioma,14,14,14,14,14,14,1.0,True
Classroom climate,18,19,19,18,18,18,0.6,True
Chopper,7,7,7,7,7,7,1.0,True
Calcite,10,10,10,10,10,10,1.0,True
Food distribution,3,3,3,6,6,3,0.6,True
Ferrihydrite,12,12,10,10,4,12,0.4,True
Antihypertensive drug,14,14,14,14,14,14,1.0,True
Peroxydisulfate,4,4,4,4,4,4,1.0,True
Hypervascularity,14,14,14,14,14,14,1.0,True
Prostate cancer,14,14,14,14,14,14,1.0,True
Diet-induced obese,14,14,14,14,14,14,1.0,True
Possession (linguistics),19,19,15,19,19,19,0.8,True
Green waste,8,8,8,8,8,8,1.0,True
Labia,14,2,2,14,14,14,0.6,True
Clavicle,14,14,14,2,14,14,0.8,True
Pricing strategies,3,3,3,6,6,3,0.6,True
Pregnenolone,4,2,14,14,14,14,0.6,True
Fetlock,2,2,2,2,2,2,1.0,True
Hypophysitis,14,14,14,14,14,14,1.0,True
Immune dysregulation,14,14,14,14,14,14,1.0,True
Hydroxycinnamic acid,4,4,4,4,4,4,1.0,True
BRCA mutation,14,2,14,14,14,14,0.8,True
Menthol,4,4,4,4,4,4,1.0,True
Mesylate,4,4,4,4,4,4,1.0,True
Probate,3,3,3,17,17,3,0.6,True
HIV vaccine,14,14,14,14,14,14,1.0,True
Health human resources,14,14,14,14,14,14,1.0,True
Nerve net,2,2,2,2,2,2,1.0,True
Penectomy,14,14,14,14,14,14,1.0,True
Scratching,14,1,1,14,18,1,0.4,True
Glucose-6-phosphate dehydrogenase,14,2,2,2,14,2,0.6,True
Decidua,14,14,14,14,14,14,1.0,True
Iodoacetic acid,4,4,4,4,4,4,1.0,True
Informal learning,19,19,19,19,19,19,1.0,True
Spin model,16,16,16,16,16,16,1.0,True
Diamond cutting,12,7,12,12,7,12,0.6,True
Dose-volume histogram,14,14,14,14,14,14,1.0,True
Guaiacol,4,4,4,4,4,4,1.0,True
Milnacipran,14,14,14,14,14,14,1.0,True
Autographa californica,2,2,2,2,2,2,1.0,True
Glomerulopathy,14,14,14,14,14,14,1.0,True
Peritonitis,14,14,14,14,14,14,1.0,True
Alcaligenes,2,2,2,2,2,2,1.0,True
Retrosplenial cortex,2,2,14,14,14,14,0.6,True
PUVA therapy,14,14,14,14,14,14,1.0,True
Dalradian,10,10,10,10,10,10,1.0,True
Juglone,4,4,4,4,4,4,1.0,True
Tweaking,5,19,18,7,5,5,0.4,True
Global Assessment of Functioning,14,18,18,18,18,18,0.8,True
Natural orifice transluminal endoscopic surgery,14,14,14,14,14,14,1.0,True
Streptomyces albus,2,2,2,2,2,2,1.0,True
Estramustine,14,14,14,14,14,14,1.0,True
Casuarina equisetifolia,2,2,2,2,2,2,1.0,True
Phosphatidylethanol,4,4,4,4,14,4,0.8,True
Smart objects,5,5,5,5,5,5,1.0,True
Wideband,7,7,7,7,7,7,1.0,True
Temporomandibular joint,14,14,14,14,14,14,1.0,True
Moral hazard,6,6,6,6,6,6,1.0,True
Sexual intercourse,2,2,2,14,14,2,0.6,True
Dental radiography,14,14,14,14,14,14,1.0,True
Maturity onset diabetes of the young,14,14,14,14,14,14,1.0,True
Dual process theory (moral psychology),18,18,18,18,18,18,1.0,True
Dinoflagellate,2,2,2,2,2,2,1.0,True
Weight-bearing,14,14,14,14,16,14,0.8,True
5-HT3 receptor,14,2,2,14,14,14,0.6,True
Dielectric resonator,16,7,16,7,16,16,0.6,True
Regenerative process,2,13,13,2,2,2,0.6,True
Lepirudin,14,14,14,14,14,14,1.0,True
S-procedure,13,13,13,13,13,13,1.0,True
Ciona,2,2,2,2,2,2,1.0,True
Eschar,14,14,14,14,14,14,1.0,True
Pulmonary vein stenosis,14,14,14,14,14,14,1.0,True
Lactobacillus,2,2,2,2,14,2,0.8,True
Plasmatron,7,7,16,7,16,7,0.6,True
Erythromycin,14,14,14,14,14,14,1.0,True
Ecosystem respiration,8,8,8,8,8,8,1.0,True
Urban hierarchy,9,9,9,9,9,9,1.0,True
Business travel,3,3,3,3,3,3,1.0,True
Syrinx (medicine),14,14,14,14,14,14,1.0,True
Edible mushroom,2,2,2,2,2,2,1.0,True
Corrupt practices,17,17,17,17,17,17,1.0,True
Upper lip,2,2,2,14,14,2,0.6,True
Neonatal seizure,14,14,14,14,14,14,1.0,True
IRF3,14,2,2,2,14,2,0.6,True
Fatty acid methyl ester,4,4,4,4,4,4,1.0,True
Band rejection,7,7,7,7,7,7,1.0,True
Fiscal capacity,6,6,6,6,6,6,1.0,True
Silybum marianum,2,14,2,2,2,2,0.8,True
Pancreatic cancer,14,14,14,14,14,14,1.0,True
Action plan,3,3,3,3,3,3,1.0,True
Climate risk,8,8,8,8,8,8,1.0,True
Speed limit,9,7,7,7,7,7,0.8,True
Flight plan,7,7,7,7,7,7,1.0,True
Anti-NMDA receptor encephalitis,14,14,14,14,14,14,1.0,True
Knockdown resistance,2,2,2,2,2,2,1.0,True
Trioctylphosphine oxide,4,4,4,4,4,4,1.0,True
Aripiprazole,14,14,14,14,14,14,1.0,True
Discernment,15,15,15,15,15,15,1.0,True
Pars interarticularis,14,14,14,14,14,14,1.0,True
Triangulated category,13,13,13,13,13,13,1.0,True
C4mim,4,4,4,4,4,4,1.0,True
Local Void,16,16,9,16,16,16,0.8,True
Intracellular transport,2,2,2,2,2,2,1.0,True
Sentinel lymph node,14,14,14,14,14,14,1.0,True
Leukotriene receptor,14,14,14,14,14,14,1.0,True
Ferulic acid,4,4,4,4,4,4,1.0,True
XPath,5,5,5,5,5,5,1.0,True
Leucocytozoon,2,2,2,2,2,2,1.0,True
Hepatic lipase,14,2,14,14,14,14,0.8,True
Forearm,2,2,2,14,14,2,0.6,True
Trichoderma,2,2,2,2,2,2,1.0,True
Caudata,2,2,2,2,2,2,1.0,True
Pituitary disease,14,14,14,14,14,14,1.0,True
Cyclic nucleotide phosphodiesterase,2,2,2,2,14,2,0.8,True
Wide Field Camera 3,16,7,16,16,16,16,0.8,True
Leaf wetness,8,8,8,8,8,8,1.0,True
Golden hour (medicine),14,14,14,14,14,14,1.0,True
Big business,3,3,3,3,3,3,1.0,True
Peer mentoring,19,19,19,19,18,19,0.8,True
Zidovudine,14,14,14,14,14,14,1.0,True
Secondary palate,2,2,14,14,14,14,0.6,True
Lysosome,2,2,2,2,2,2,1.0,True
Chevron (anatomy),2,2,2,14,14,2,0.6,True
Amitriptyline,14,14,14,14,14,14,1.0,True
Extrastriate cortex,14,2,14,14,14,14,0.8,True
Evocation,18,18,15,18,15,18,0.6,True
Hierarchical organization,19,19,19,19,17,19,0.8,True
Xylulose,4,4,4,4,4,4,1.0,True
Uteroglobin,2,2,2,2,14,2,0.8,True
Vaginal bleeding,14,14,14,14,14,14,1.0,True
Interactive whiteboard,5,5,5,5,5,5,1.0,True
Peripheral blood lymphocyte,14,2,14,14,14,14,0.8,True
Goal Attainment Scaling,18,18,18,18,18,18,1.0,True
Isophorone,4,4,4,4,4,4,1.0,True
Superpower,17,17,17,17,17,17,1.0,True
Judicial interpretation,17,17,17,17,17,17,1.0,True
YAP1,14,2,2,2,14,2,0.6,True
Semitendinosus muscle,14,14,14,2,14,14,0.8,True
Salicin,4,4,4,4,4,4,1.0,True
Acariformes,2,2,2,2,2,2,1.0,True
Cipher,5,5,5,5,5,5,1.0,True
Body mass index,14,14,14,14,14,14,1.0,True
Proximal tubule,14,14,2,2,14,14,0.6,True
Gerbil,2,2,2,2,2,2,1.0,True
Academic detailing,14,14,14,14,14,14,1.0,True
Ovotransferrin,2,2,2,2,2,2,1.0,True
Antarctic ice sheet,8,9,9,10,10,9,0.4,True
Serous cystadenocarcinoma,14,14,14,14,14,14,1.0,True
Social partners,19,17,17,19,17,17,0.6,True
IgG4-related disease,14,14,14,14,14,14,1.0,True
Credibility,19,19,19,19,17,19,0.8,True
Distributed hash table,5,5,5,5,5,5,1.0,True
Impunity,17,17,17,17,17,17,1.0,True
Monensin,4,4,4,4,14,4,0.8,True
Gorgonian,2,2,2,2,2,2,1.0,True
Ventricular outflow tract obstruction,14,14,14,14,14,14,1.0,True
Electroejaculation,14,14,14,14,14,14,1.0,True
Panobinostat,14,14,14,14,14,14,1.0,True
Premaxilla,2,2,2,14,2,2,0.8,True
Vaginismus,14,14,14,14,14,14,1.0,True
Cataracts,14,14,14,14,14,14,1.0,True
Complex regional pain syndrome,14,14,14,14,14,14,1.0,True
Cruelty,18,19,18,15,18,18,0.6,True
Modality (human–computer interaction),5,5,5,5,5,5,1.0,True
Movement (music),1,1,1,1,1,1,1.0,True
Longissimus,2,2,2,2,2,2,1.0,True
Alanine scanning,2,2,2,2,4,2,0.8,True
Tifton,9,9,9,9,9,9,1.0,True
Nephrectomy,14,14,14,14,14,14,1.0,True
ROMP,12,4,5,5,12,12,0.4,True
Mobile social network,5,5,5,5,5,5,1.0,True
Phraseology,19,19,15,19,19,19,0.8,True
Chemical bath deposition,4,12,12,12,12,12,0.8,True
Multiple disabilities,14,14,14,14,14,14,1.0,True
Parasomnia,14,14,14,14,14,14,1.0,True
Connexin,2,2,2,2,14,2,0.8,True
Pulmonary contusion,14,14,14,14,14,14,1.0,True
Renal papillary necrosis,14,14,14,14,14,14,1.0,True
Bulked segregant analysis,2,2,2,2,2,2,1.0,True
Diener,18,11,14,11,11,11,0.6,True
Body politic,17,17,17,17,17,17,1.0,True
Double jeopardy,17,17,17,17,17,17,1.0,True
Sulfanilic acid,4,4,4,4,4,4,1.0,True
Annona,2,2,2,2,2,2,1.0,True
Embankment dam,7,7,7,7,7,7,1.0,True
Sodium sulfite,4,4,4,4,4,4,1.0,True
Diethyl azodicarboxylate,4,4,4,4,4,4,1.0,True
Left coronary artery,14,14,14,14,14,14,1.0,True
Hemopneumothorax,14,14,14,14,14,14,1.0,True
CGS-21680,14,4,14,14,14,14,0.8,True
Benzamide,4,4,4,4,4,4,1.0,True
Separation process,7,7,7,7,7,7,1.0,True
Letter of credit,3,3,3,3,3,3,1.0,True
Diffusive gradients in thin films,8,8,4,12,8,8,0.6,True
Trichotomy (philosophy),15,15,15,15,15,15,1.0,True
Pneumopericardium,14,14,14,14,14,14,1.0,True
Primary aldosteronism,14,14,14,14,14,14,1.0,True
GOST (hash function),5,5,5,5,5,5,1.0,True
Long-term care,14,14,14,14,14,14,1.0,True
Transparency (behavior),19,19,18,18,19,19,0.6,True
Safety case,7,7,7,7,7,7,1.0,True
Vector meson dominance,16,16,16,16,16,16,1.0,True
Cancer prevention,14,14,14,14,14,14,1.0,True
Benzocaine,4,4,4,14,14,4,0.6,True
Decitabine,14,14,14,14,14,14,1.0,True
Wave loading,7,7,16,7,7,7,0.8,True
Airbag,7,7,7,7,7,7,1.0,True
ABC analysis,3,3,3,3,3,3,1.0,True
Nothofagus,2,2,2,2,2,2,1.0,True
High-definition video,5,7,7,7,7,7,0.8,True
Corpectomy,14,14,14,14,14,14,1.0,True
Lactobacillus crispatus,2,2,2,2,2,2,1.0,True
Inulinase,2,2,2,2,14,2,0.8,True
Employee benefits,3,3,3,3,3,3,1.0,True
Posterior cranial fossa,14,14,14,14,14,14,1.0,True
Moclobemide,14,14,14,14,14,14,1.0,True
Peganum harmala,2,2,2,2,2,2,1.0,True
Pectobacterium,2,2,2,2,2,2,1.0,True
BTLA,2,2,14,14,14,14,0.6,True
National Development Plan,6,6,17,17,17,17,0.6,False
Spiritual development,15,18,15,15,18,15,0.6,True
Clonorchis sinensis,2,2,2,2,14,2,0.8,True
Signet ring cell carcinoma,14,14,14,14,14,14,1.0,True
Chromosome 9,2,2,2,2,2,2,1.0,True
Blepharitis,14,14,14,14,14,14,1.0,True
Synechocystis,2,2,2,2,2,2,1.0,True
Blood-oxygen-level dependent,14,14,14,14,14,14,1.0,True
Tetrabutylammonium hydroxide,4,4,4,4,4,4,1.0,True
Polyglot,19,19,19,19,19,19,1.0,True
Bacillus anthracis,2,2,2,2,2,2,1.0,True
Car seat,7,7,7,7,7,7,1.0,True
Asparagine synthetase,2,2,2,2,14,2,0.8,True
International Prognostic Scoring System,14,14,14,14,14,14,1.0,True
Streptomyces aureofaciens,2,2,2,2,2,2,1.0,True
Vehicle-to-vehicle,7,7,7,7,7,7,1.0,True
Lipidome,2,2,2,4,14,2,0.6,True
Strip steel,12,12,12,12,12,12,1.0,True
Surface hopping,4,4,16,16,16,16,0.6,True
Triazene,4,4,4,4,4,4,1.0,True
Hybrid plasmid,2,2,2,2,2,2,1.0,True
Hyperkalemia,14,14,14,14,14,14,1.0,True
Class analysis,19,19,19,19,17,19,0.8,True
Boron nitride,12,12,12,4,12,12,0.8,True
Crataegus,2,2,2,2,2,2,1.0,True
House mouse,2,2,2,2,2,2,1.0,True
Solitary pulmonary nodule,14,14,14,14,14,14,1.0,True
Calphostin C,4,2,4,4,4,4,0.8,True
Ezrin,2,2,2,2,14,2,0.8,True
Bacteroides fragilis,2,2,2,2,14,2,0.8,True
Shalom,11,19,15,15,11,11,0.4,True
Y chromosome,2,2,2,2,2,2,1.0,True
Weakness,18,18,18,18,18,18,1.0,True
Two-fluid model,16,16,16,16,16,16,1.0,True
Sodium ascorbate,4,4,4,4,4,4,1.0,True
Cheek teeth,2,2,2,2,2,2,1.0,True
Lamina terminalis,14,14,14,14,14,14,1.0,True
Fluorescein angiography,14,14,14,14,14,14,1.0,True
Retropharyngeal space,14,14,14,14,14,14,1.0,True
Community management,3,3,3,3,19,3,0.8,True
Shock therapy,6,14,18,14,14,14,0.6,True
International regime,17,17,17,17,17,17,1.0,True
CD137,14,2,14,14,14,14,0.8,True
Shit,2,2,14,2,14,2,0.6,True
Aldosterone synthase,4,2,2,2,14,2,0.6,True
Physical activity level,14,14,14,14,14,14,1.0,True
Space Telescope Imaging Spectrograph,16,16,16,16,16,16,1.0,True
Populus trichocarpa,2,2,2,2,2,2,1.0,True
Potassium perchlorate,4,4,4,4,4,4,1.0,True
Desipramine,14,14,14,14,14,14,1.0,True
Joint Implementation,8,8,8,8,17,8,0.8,True
Casuarina,2,2,2,2,2,2,1.0,True
Lithium cobalt oxide,12,12,12,12,12,12,1.0,True
Stevia,2,2,2,2,14,2,0.8,True
Terbutaline,14,14,14,14,14,14,1.0,True
Criminal jurisdiction,17,17,17,17,17,17,1.0,True
Immunosuppression,14,14,14,14,14,14,1.0,True
Gastropoda,2,2,2,2,2,2,1.0,True
Superconducting wire,12,12,12,16,16,12,0.6,True
Lepeophtheirus,2,2,2,2,2,2,1.0,True
Phentolamine,14,14,14,14,14,14,1.0,True
Presumption,15,15,15,15,15,15,1.0,True
Trichosanthes,2,2,2,2,2,2,1.0,True
V(D)J recombination,2,2,2,2,2,2,1.0,True
Corvidae,2,2,2,2,2,2,1.0,True
Moraceae,2,2,2,2,2,2,1.0,True
Probiotic,2,14,14,14,14,14,0.8,True
Cyclopentanone,4,4,4,4,4,4,1.0,True
Nasality,14,2,14,14,14,14,0.8,True
Anaplastic thyroid cancer,14,14,14,14,14,14,1.0,True
Cardenolide,4,4,4,4,4,4,1.0,True
Risk Control,3,3,3,3,7,3,0.8,True
Ectopic ureter,14,14,14,14,14,14,1.0,True
Equatorial electrojet,16,16,16,16,16,16,1.0,True
Senior management,3,3,3,3,3,3,1.0,True
Biological soil crust,8,2,8,8,8,8,0.8,True
Germ,2,2,2,14,14,2,0.6,True
Diarylethene,4,12,4,4,4,4,0.8,True
Gemcitabine,14,14,14,14,14,14,1.0,True
Genomic island,2,2,2,2,2,2,1.0,True
Irinotecan,14,14,14,14,14,14,1.0,True
Lock-in amplifier,16,16,16,16,16,16,1.0,True
Irbesartan,14,14,14,14,14,14,1.0,True
Helping hand,18,19,19,19,19,19,0.8,True
Physical test,7,7,14,16,16,7,0.4,True
Capitalist mode of production,6,6,6,6,6,6,1.0,True
Vermicompost,8,8,8,8,8,8,1.0,True
Deca-,13,13,13,13,13,13,1.0,True
Brominated flame retardant,4,4,4,4,4,4,1.0,True
Indoxacarb,4,4,4,4,4,4,1.0,True
Allopurinol,14,14,14,14,14,14,1.0,True
Branch retinal vein occlusion,14,14,14,14,14,14,1.0,True
Inhaler,14,14,14,14,14,14,1.0,True
Pentose,4,4,4,4,4,4,1.0,True
Rapid diagnostic test,14,14,14,14,14,14,1.0,True
Tooth whitening,14,14,14,14,14,14,1.0,True
Community policing,19,19,19,19,17,19,0.8,True
Postpartum depression,14,14,18,18,18,18,0.6,True
Law enforcement,17,17,17,17,17,17,1.0,True
Ambrisentan,14,14,14,14,14,14,1.0,True
Anaplasia,14,14,14,14,14,14,1.0,True
Large Helical Device,16,16,16,16,16,16,1.0,True
Shutdown,3,6,5,17,5,5,0.4,True
Horizontal transmission,2,2,2,2,2,2,1.0,True
Pluto,9,16,10,16,10,9,0.2,True
Alkyl,4,4,4,4,4,4,1.0,True
Anterior choroidal artery,14,14,14,14,14,14,1.0,True
Security domain,5,5,5,5,5,5,1.0,True
Biological engineering,7,7,7,7,7,7,1.0,True
Heme A,4,2,2,4,4,4,0.6,True
Managed care,14,3,14,14,14,14,0.8,True
CDKN2A,14,2,2,14,14,14,0.6,True
Epidermodysplasia verruciformis,14,14,14,14,14,14,1.0,True
Aspergilloma,14,14,14,14,14,14,1.0,True
Submandibular gland,14,14,14,14,14,14,1.0,True
Soman,4,4,4,4,4,4,1.0,True
Teacher induction,19,19,19,19,19,19,1.0,True
Medieval philosophy,15,15,15,15,15,15,1.0,True
Benzidine,4,4,4,4,4,4,1.0,True
Nestedness,2,2,2,2,8,2,0.8,True
Ovarian vein,14,14,14,14,14,14,1.0,True
Abducens nerve,14,14,14,14,14,14,1.0,True
Phosphoramidon,4,14,4,4,4,4,0.8,True
Tranilast,14,14,14,14,14,14,1.0,True
Government budget,6,6,17,6,6,6,0.8,True
Tuberculum sellae,14,14,14,14,14,14,1.0,True
Blast furnace,7,7,7,7,7,7,1.0,True
Abelmoschus,2,2,2,2,2,2,1.0,True
